Autor,Obra (Título),Notas/Descrição
Voltaire,"Cândido, ou o Otimismo","Uma sátira brilhante que usa a hipérbole e o ridículo para atacar a filosofia otimista de Leibniz, mostrando como a ideia de que ""vivemos no melhor dos mundos possíveis"" se torna absurda quando confrontada com o sofrimento real."
"Lewis, C.S.",Cartas de um Diabo a seu Aprendiz,Lewis usa a ironia e a perspectiva de um demónio para expor as fragilidades e os absurdos do pensamento humano moderno.
"Maquiavel, Nicolau",O Príncipe,"A obra clássica sobre a separação entre as motivações declaradas e as ações reais no exercício do poder. Maquiavel é um mestre em analisar o ""porquê"" por trás da política."
"Freud, Sigmund",Psicologia das Massas e Análise do Eu,Um estudo profundo sobre os motivadores irracionais que levam os indivíduos a agir de certas maneiras quando estão em grupo.
"Ortega y Gasset, José",A Rebelião das Massas,"Uma análise brilhante de como o ""homem-massa"" moderno vive de slogans e ideias pré-fabricadas, sem conexão com a origem histórica e o verdadeiro significado dos conceitos."
PESQUISA,"Um Dicionário de Citações, Máximas e Pensamentos","Ter um repertório de sabedoria acumulada (um ""mapa mental"" da civilização) é uma ferramenta poderosa para relacionar significados e contextos."
"Johnson, Paul",Os Intelectuais,"Johnson aplica magistralmente este método, analisando a vida e as ideias de grandes intelectuais (Rousseau, Marx, Sartre) e mostrando como as suas grandiosas teorias para a humanidade muitas vezes escondiam premissas venenosas..."
"Pinker, Steven",A Tábua Rasa,"Pinker argumenta contra a premissa de que a mente humana é uma ""folha em branco"", mostrando como esta ideia venenosa está na raiz de muitas políticas sociais e educacionais fracassadas."
"Copi, Irving M.",Introdução à Lógica,"Um manual universitário clássico, excelente para entender a estrutura formal dos silogismos e dos argumentos dedutivos e indutivos."
"Doyle, Arthur Conan",As Aventuras de Sherlock Holmes,"A ficção é um ótimo treino. Observe como Holmes não apenas resolve o crime, mas reconstrói a lógica do criminoso, passo a passo."
"Mises, Ludwig von",Ação Humana,"Um tratado monumental de economia que é, na sua essência, um exercício sobre como construir um sistema de pensamento complexo a partir de uma única premissa fundamental e irrefutável (o ""axioma da ação"")."
"Chesterton, G. K.",Ortodoxia,Chesterton defende o Cristianismo argumentando que as suas premissas sobre o homem (nobre e decaído ao mesmo tempo) são as únicas que correspondem à realidade que observamos.
Platão,Apologia de Sócrates,O relato da defesa de Sócrates no seu julgamento. É uma aula magna sobre como usar perguntas e contrapostos para expor a ignorância e a inconsistência dos seus acusadores.
Epicteto,Manual para uma Vida Feliz (Enchiridion),A filosofia estóica está repleta de contrapostos lógicos para testar as nossas próprias impressões e desejos.
"Murray, Douglas",A Loucura das Massas,"Uma análise demolidora de como as políticas de identidade (LGBT, feminismo, raça) se baseiam em premissas que não resistem ao escrutínio da realidade e da lógica."
"Lewis, C.S.",A Abolição do Homem,"Um livro profético que argumenta que a rejeição da lei natural e da realidade objetiva levará, em última análise, à desumanização do próprio homem."
Irmã Miriam Joseph,"O Trivium: As Artes Liberais da Lógica, Gramática e Retórica","A obra definitiva. Um estudo profundo e completo que é, em si, um curso sobre como pensar."
"Bauer, Susan Wise",A Mente Bem Treinada,Um guia prático moderno sobre como aplicar os princípios da educação clássica e do Trivium na formação dos seus filhos ou na sua própria autoeducação.
Platão,A República (Livro VII),"Contém a famosa Alegoria da Caverna e a descrição da educação do filósofo-rei, que é a base para as Artes Liberais."
PESQUISA,Ratio Studiorum,O documento que codificou o sistema de educação jesuíta. Pesquisar sobre ele é entender o nível de rigor e de integração do conhecimento que já tivemos no Brasil.
"Giuliano, Thomas",Pátria Educadora em Crise,Um livro contemporâneo que analisa a devastação causada pela pedagogia de Paulo Freire e seus seguidores na educação brasileira.
São Tomás de Aquino,"Suma Teológica (Primeira Parte, Questão 85)",Uma análise profunda e detalhada sobre os modos do conhecimento intelectual.
São Tomás de Aquino,"Comentário ao ""Da Interpretação"" de Aristóteles","Uma obra dedicada a explicar o segundo ato da mente, o juízo e a proposição."
"Herculano, Alexandre",História de Portugal,"Uma obra monumental e clássica, essencial para entender a formação do espírito português, as suas lutas e a sua vocação."
"Dawson, Christopher",A Formação da Civilização Ocidental,"Um livro fundamental para compreender que a base da nossa civilização não é primariamente económica ou política, mas religiosa e cultural."
"Maalouf, Amin",As Cruzadas Vistas pelos Árabes,"Oferece uma perspectiva diferente e importante para entender a complexidade do conflito, embora deva ser lido com um olhar crítico."
"Stark, Rodney",God's Battalions: The Case for the Crusades,"Um trabalho académico que desmente muitos dos mitos modernos sobre as Cruzadas, usando fontes históricas para mostrar a sua natureza primariamente defensiva."
"Melville, Marion",História dos Templários,"Um relato detalhado sobre a história da ordem, incluindo o seu papel crucial em Portugal."
"Burke, Edmund",Reflexões sobre a Revolução na França,"Escrito no início da revolução, é uma crítica profética e demolidora que previu o terror e a tirania que resultariam da destruição da ordem tradicional."
"Caminha, Pero Vaz de",A Carta de Pero Vaz de Caminha,"Leia o documento fundador do Brasil na íntegra. É um texto curto e revelador. Observe a prioridade dada aos assuntos da fé e o olhar de maravilhamento, e não de cobiça, sobre a nova terra e o seu povo."
"Russell, Peter",Príncipe Henrique o Navegador,"Uma biografia detalhada sobre o homem que foi o grande arquiteto das navegações portuguesas, mostrando a sua profunda piedade e a sua visão cruzadista."
"Camões, Luís de",Os Lusíadas,"A epopeia nacional portuguesa. É uma obra de poesia, mas que capta perfeitamente o espírito heróico, trágico e missionário das navegações."
"Freyre, Gilberto",Casa-Grande & Senzala,A obra fundamental para entender a formação miscigenada e patriarcal da sociedade brasileira.
"Calmon, Pedro",A Fundação do Brasil,"Um relato histórico detalhado que narra as primeiras décadas da colonização, destacando as alianças e os conflitos."
"Antonil, André João (pseudônimo)",Cultura e Opulência do Brasil por suas Drogas e Minas,"Um relato detalhado, escrito em 1711, sobre a economia do açúcar e do ouro no Brasil, mostrando a sua complexidade e a riqueza que gerava internamente."
"Veríssimo, Érico",O Continente,"Embora seja ficção, a saga da família Terra Cambará no Rio Grande do Sul ilustra de forma magistral o poder do municipalismo e a formação de elites locais que construíram o Brasil longe do poder central."
PESQUISA,Ordenações Filipinas,"Ler sobre a sua estrutura jurídica, que vigorou no Brasil até 1916, é entender a profundidade e a estabilidade do sistema legal que herdámos."
"Gomes, Laurentino",1808,"Embora o autor não partilhe da nossa cosmovisão, o livro é uma excelente reportagem sobre a transferência da corte portuguesa para o Rio de Janeiro e a subsequente transformação do Brasil no centro do império."
"Lima, Oliveira",D. João VI no Brasil,"Considerada a biografia definitiva do monarca, resgata a sua figura como um estadista astuto e visionário, responsável por modernizar o Brasil."
"Roberts, Andrew",Napoleão: Uma Vida,"Uma biografia monumental que, embora focada no imperador francês, permite entender a escala do seu poder e, por contraste, a genialidade da manobra portuguesa."
"González, Justo L.",O Marquês de Pombal e a Supressão da Companhia de Jesus,Um estudo sobre as motivações políticas e ideológicas por trás da expulsão dos jesuítas.
PESQUISA,A Missão (Filme de 1986),"Embora ficcional e retratando as missões na fronteira com o Paraguai, este filme capta de forma brilhante o espírito do trabalho jesuíta com os indígenas e a brutalidade das forças políticas (representadas por Pombal) que os destruíram."
"Sousa, Otávio Tarquino de",História dos Fundadores do Império do Brasil,As biografias detalhadas escritas por este grande historiador são essenciais para entender as motivações e o caráter dos homens que viveram este período.
"Gomes, Laurentino",1822,"Novamente, apesar da visão do autor, o livro oferece uma excelente compilação de fatos e do contexto da época, que pode ser lida com o ""filtro"" da verdadeira história."
"Pereira, Ângelo",Dom Miguel I e a sua Época,"Uma biografia que resgata a figura de Dom Miguel, não como um ""absolutista"", mas como o defensor da tradição portuguesa contra a revolução."
"Serrão, Joaquim Veríssimo",História de Portugal,Uma obra de referência que detalha o período conturbado das guerras liberais e as suas desastrosas consequências para a nação portuguesa.
"Carvalho, José Murilo de",Dom Pedro II,"Uma biografia completa que, apesar do viés republicano do autor, não consegue esconder a grandeza do monarca."
"Schwarcz, Lilia Moritz",As Barbas do Imperador,"Outra biografia de referência, rica em detalhes sobre a vida pessoal, cultural e política do Segundo Reinado."
"Magalhães Júnior, R.","Princesa Isabel, a Redentora",Uma biografia que destaca o papel central e a motivação da princesa no processo abolicionista.
PESQUISA,Encíclicas e bulas papais contra a escravidão (como Sublimis Deus de Paulo III ou In Supremo Apostolatus de Gregório XVI),"Ler as encíclicas e bulas papais contra a escravidão (...) para entender que a posição da Igreja sempre foi clara, mesmo que desobedecida."
"Nabuco, Joaquim",O Abolicionismo,"Nabuco, um monarquista e abolicionista, descreve com clareza o ambiente político da época e alerta para os perigos que a República representaria."
"Bello, José Maria",História da República Brasileira,"Uma análise clássica dos primeiros e conturbados anos da República, mostrando a sua falta de legitimidade popular."
"Ribeiro, Clóvis",Brasões e Bandeiras do Brasil,"A obra mais completa sobre a história da vexilologia (estudo de bandeiras) e da heráldica brasileira, detalhando a origem e a evolução de cada símbolo."
"Sousa, Otávio Tarquino de",História dos Fundadores do Império do Brasil,"Ao ler sobre a vida de D. Pedro I e D. Leopoldina, o significado das cores e da união das suas Casas Reais ganha uma dimensão pessoal e dramática."
"Lins, Ivan",O Positivismo no Brasil,"Essencial para entender a filosofia por trás do lema ""Ordem e Progresso"" e como esta seita influenciou o Exército e a política na transição para a República."
Lira Neto,Best-seller a Vingança,"Parte da trilogia sobre Getúlio, mas o início do livro descreve bem o ambiente caótico e as disputas de poder na recém-nascida República, o que ajuda a entender o contexto da criação dos novos símbolos."
"Leal, Victor Nunes","Coronelismo, Enxada e Voto",A obra clássica que dissecou o sistema de poder local da República Velha.
"Barreto, Lima",Triste Fim de Policarpo Quaresma,"Uma sátira genial e amarga sobre o nacionalismo ufanista e ingênuo da República Velha, mostrando um homem que tenta servir à pátria republicana e é esmagado por ela."
"Costa, Emília Viotti da",Da Monarquia à República: Momentos Decisivos,Uma análise histórica das forças sociais e económicas que levaram à queda do Império e à instauração da República.
"Holanda, Sérgio Buarque de",Raízes do Brasil,"Um ensaio clássico sobre a identidade nacional, onde o conceito de ""homem cordial"" ajuda a entender a nossa dificuldade em separar a esfera pública da privada, um problema que se agravou na república."
"Nabuco, Joaquim",Minha Formação,"As memórias de Nabuco pintam um retrato vívido da sociedade e da cultura do Império, permitindo-nos sentir o que foi perdido."
"Gomes, Laurentino",A Invenção de Brasília,"Um livro que, embora celebre a construção, revela os bastidores políticos e as intenções por trás da criação da nova capital."
PESQUISA,Arquitetura de Albert Speer (arquiteto de Hitler) ou a arquitetura stalinista,Compare a sua estética monumental e desumanizante com a de Brasília.
"Debret, Jean-Baptiste",Viagem Pitoresca e Histórica ao Brasil,"As aquarelas e os relatos de Debret mostram a vida quotidiana do Rio de Janeiro no início do século XIX, incluindo a interação natural entre a realeza e o povo."
"Schwarcz, Lilia Moritz",As Barbas do Imperador,A biografia está repleta de relatos de testemunhas oculares sobre a simplicidade e a acessibilidade do Imperador no seu dia a dia.
"Edmundo, Luís",O Rio de Janeiro do Meu Tempo,"Uma crónica nostálgica e detalhada da vida, dos costumes e da paisagem urbana do Rio de Janeiro no final do Império e início da República."
"Gomes, Laurentino",A Invenção de Brasília,"Um livro que, embora celebre a construção, revela os bastidores políticos e as intenções por trás da criação da nova capital, muitas vezes confirmando a sua natureza isolacionista."
"Faoro, Raymundo",O Dono do Poder: Formação do Patronato Político Brasileiro,"Uma análise clássica e profunda de como uma elite ""estamental"" e burocrática se apoderou do Estado brasileiro, tratando-o como propriedade privada, um processo que se consolidou e se agravou com a República."
"Souza, Jessé",A Elite do Atraso: Da Escravidão à Lava Jato,"Embora vindo de uma perspectiva de esquerda, a análise de Souza sobre como uma elite predatória se perpetua no poder, indiferente ao destino do povo, é um diagnóstico contundente da patologia republicana."
"Carvalho, José Murilo de",D. Pedro II,"Uma biografia completa que, apesar do viés republicano do autor, não consegue esconder a grandeza, a cultura e o caráter do monarca."
"Schwarcz, Lilia Moritz",As Barbas do Imperador,"Outra biografia de referência, rica em detalhes sobre a vida pessoal, cultural e política do Segundo Reinado, incluindo o seu papel como mecenas."
PESQUISA,"Óperas de Carlos Gomes (como ""O Guarani"" ou ""Lo Schiavo"")",Ouvir a sua música é ter um vislumbre da grandeza cultural que o Brasil era capaz de produzir sob a égide do Império.
Santo Agostinho,A Cidade de Deus,"Escrita precisamente em resposta ao choque do Saque de Roma em 410, esta é a obra fundamental para entender a visão cristã da história..."
"Gibbon, Edward",A História do Declínio e Queda do Império Romano,"Embora Gibbon fosse um iluminista crítico do cristianismo, a sua monumental obra é uma fonte indispensável de factos e da escala épica do colapso romano. Deve ser lida com o nosso ""filtro"" da verdade."
São Tomás de Aquino,"Suma Teológica (Parte I-II, Questão 95, Artigo 2)","A análise de São Tomás sobre como uma lei que não é justa se torna ""antes um ato de violência do que uma lei"" é a chave filosófica para entender o colapso da legitimidade romana."
"Potter, David S.",The Roman Empire in the Third Century,"Uma análise acadêmica moderna e detalhada sobre este período caótico, conhecido como a ""Crise do Terceiro Século""."
PESQUISA,"The Crisis of the Third Century, capítulo em ""The Cambridge Ancient History, Vol. 12""",Oferece uma análise detalhada e acadêmica sobre a anarquia militar e a crise econômica do período.
"Grant, Michael",A History of the Roman Empire,Um relato acessível que descreve vividamente o ciclo de assassinatos e usurpações imperiais.
"Beard, Mary",Pompeia: A Vida de uma Cidade Romana,"Um livro fascinante que reconstrói a vida quotidiana em Pompeia, revelando a sua sofisticação e as suas contradições."
Juvenal,As Sátiras,"A obra do poeta romano do início do século II é uma crítica mordaz e muitas vezes chocante à decadência moral, à corrupção e ao luxo da cidade de Roma."
"Kirk, Russell",A Mente Cauterizada,"Um dos grandes pensadores conservadores do século XX, Kirk diagnostica a perda da imaginação moral e da reverência pela tradição como a principal doença do homem moderno."
"Bloom, Allan",O Fechamento da Mente Americana,"Um livro polémico e brilhante que, já nos anos 80, denunciava como o relativismo e a falta de um currículo centrado nos grandes livros estavam a empobrecer a alma dos estudantes universitários."
"Delbrück, Hans",As Invasões Bárbaras,"Um estudo clássico da história militar, analisando a organização, as táticas e os números das tribos germânicas e dos exércitos romanos."
"Thompson, E. A.",Romans and Barbarians: The Decline of the Western Empire,"Uma obra que explora as complexas relações sociais e políticas entre romanos e bárbaros, para além dos conflitos militares."
Santo Agostinho,A Cidade de Deus (Livro V),Agostinho discute a Providência Divina mesmo nas crises e como as virtudes (ou a falta delas) dos romanos influenciaram o destino do Império.
"Heather, Peter",The Fall of the Roman Empire: A New History of Rome and the Barbarians,Heather argumenta de forma convincente que o aumento da sofisticação política e militar das tribos germânicas... foi um fator crucial para a sua queda.
"Heather, Peter",Empires and Barbarians: The Fall of Rome and the Birth of Europe,Explora em profundidade as migrações em massa e como a política de assentamentos de Roma acabou por acelerar o seu próprio colapso.
"Watson, Alaric",Aurelian and the Third Century,A biografia definitiva e mais completa sobre este imperador extraordinário e o seu impacto na crise.
"Grant, Michael",The Roman Emperors: A Biographical Guide to the Rulers of Imperial Rome,"Um excelente livro de referência para conhecer a vida e os feitos de imperadores menos conhecidos, como Aureliano e Diocleciano."
"Marcellinus, Ammianus",The Later Roman Empire,Amiano foi um soldado e historiador romano que viveu e escreveu durante este período. A sua descrição da Batalha de Adrianópolis é a principal fonte que temos...
"Heather, Peter",Empires and Barbarians: The Fall of Rome and the Birth of Europe,Oferece a análise mais completa sobre o impacto da chegada dos hunos e as migrações em cadeia que ela provocou.
"Gibbon, Edward",A História do Declínio e Queda do Império Romano,A sua descrição da corrupção dos oficiais romanos na fronteira do Danúbio é um estudo de caso clássico sobre a ganância humana em tempos de crise.
"Murray, Douglas","The Strange Death of Europe: Immigration, Identity, Islam","Um relato contundente e jornalístico sobre a crise migratória na Europa, argumentando que o continente está a cometer um suicídio cultural."
"MacDowall, Simon",Adrianópolis 378: O Crepúsculo de Roma (Osprey Publishing),"Um livro focado na batalha em si, com excelentes mapas e análises das táticas e do equipamento de ambos os exércitos."
"Matthews, John",The Roman War of Antiope,Um estudo aprofundado do reinado de Valente e do contexto político que levou à desastrosa campanha.
"Heather, Peter",The Fall of the Roman Empire: A New History of Rome and the Barbarians,O livro começa precisamente com a descrição do impacto de Adrianópolis como o evento que desencadeou a cascata de acontecimentos que levaria à queda final.
"Roberts, Andrew",A Tempestade da Guerra: Uma Nova História da Segunda Guerra Mundial,"Embora sobre um período diferente, este livro é um estudo magistral sobre a importância da moral e do impacto psicológico na guerra..."
"Ward-Perkins, Bryan",The Fall of Rome: And the End of Civilization,"Um livro que argumenta de forma contundente que a queda de Roma foi, de fato, um colapso violento e catastrófico do padrão de vida..."
"Gibbins, David",A Espada de Átila,"Embora um romance histórico, oferece uma reconstrução vívida do ambiente de medo e incerteza que pairava sobre o Império Romano no século V."
"Burns, Thomas S.","Barbarians within the Gates of Rome: A Study of Roman Military Policy and the Barbarians, ca. 375-425 A.D.",Uma análise detalhada das complexas negociações e dos conflitos entre o governo romano e líderes bárbaros como Alarico.
PESQUISA,Cartas de São Jerônimo,Ler as palavras de uma testemunha ocular do impacto psicológico do saque é uma experiência poderosa e comovente.
"Merrills, Andy; Miles, Richard",The Vandals,"Uma história completa do reino vândalo no Norte de África, mostrando que eles não eram apenas ""vândalos"", mas os construtores de um estado sofisticado e de uma poderosa marinha."
Possídio,A Vida de Santo Agostinho,"Agostinho morreu em 430 d.C., na sua cidade de Hipona, enquanto esta estava cercada pelos vândalos. O relato do seu biógrafo capta o desespero e o fim de uma era."
Santo Agostinho,A Cidade de Deus,"A leitura desta obra é desafiadora, mas os seus primeiros livros (I-III), onde ele lida diretamente com o trauma do saque, são essenciais."
Santo Eutrópio,A Agonia do Império Romano do Ocidente,"Um autor contemporâneo que descreve o caos e a desolação do século V, mostrando o pano de fundo histórico para a obra de Agostinho."
"Markus, R. A.",O Fim da Civilização Clássica,"Um estudo sobre a transição cultural e religiosa do final da Antiguidade, mostrando como o cristianismo se tornou o herdeiro do mundo clássico."
"Holland, Tom",A Sombra da Espada: A Batalha pela Conquista do Império Persa e Bizantino,"Embora focado no Império Oriental, o livro descreve brilhantemente o vácuo de poder e a paisagem religiosa do mundo no final da Antiguidade."
"Millar, Fergus",O Fim do Império Romano,"Uma coleção de ensaios acadêmicos que discutem as várias teorias sobre a queda, incluindo a ideia de uma ""transformação"" gradual em vez de um colapso súbito."
"Wickham, Chris",The Inheritance of Rome: A History of Europe from 400 to 1000,"Descreve o período pós-romano, mostrando como as estruturas de poder locais e bárbaras substituíram o governo central imperial."
"Jones, Terry",Os Bárbaros,"Uma série de documentários e um livro que, embora com um viés anti-romano, mostra de forma vívida a cultura e a sociedade dos povos germânicos antes e depois da sua cristianização."
"Dawson, Christopher",The Forging of Christendom,"Um dos maiores historiadores católicos, Dawson narra magistralmente como a Igreja Católica foi a força ativa que sintetizou os elementos romanos, germânicos e cristãos para criar a civilização europeia."
"Woods Jr., Thomas E.",Como a Igreja Católica Construiu a Civilização Ocidental,"Um livro que documenta, área por área (ciência, arte, direito, caridade), como a Igreja foi a força construtiva primária da nossa civilização."
"Tarnas, Richard","A Idade da Razão, capítulo em ""A Trajetória do Ocidente""","Embora de uma perspetiva mais secular, Tarnas descreve bem a mudança de cosmovisão da mente medieval para a moderna..."
"Southern, R. W.",O Começo da Idade Média,"Um clássico que oferece uma visão geral e acessível sobre a formação da civilização medieval, desfazendo muitos mitos."
"Scruton, Roger",Why Beauty Matters? (Por que a Beleza Importa?),"O documentário (disponível no YouTube) e o livro são a chave filosófica para este livro, explicando a beleza como uma necessidade da alma."
São Bento,A Regra de São Bento,Um documento surpreendentemente curto e prático. Lê-lo é entender a psicologia e a estrutura que moldaram a Europa por séculos.
"Woods Jr., Thomas E.",Como a Igreja Católica Construiu a Civilização Ocidental,O capítulo sobre os monges detalha as suas inovações tecnológicas e o seu impacto econômico.
"Cahill, Thomas",Como os Irlandeses Salvaram a Civilização,"Narra a história fascinante de como os monges irlandeses, na extremidade da Europa, preservaram o conhecimento clássico enquanto o continente ardia."
São Bento,A Regra de São Bento,"Leia o texto original. A sua sabedoria sobre a natureza humana, a liderança (o papel do Abade) e a vida em comunidade é atemporal."
"Dreher, Rod",The Benedict Option,"Um livro moderno que argumenta que os cristãos de hoje deveriam aprender com o exemplo de São Bento, criando comunidades de ordem e fé para resistir ao caos da cultura secular."
"Stark, Rodney","Vitória da Razão: Como o Cristianismo Gerou a Liberdade, o Capitalismo e o Sucesso do Ocidente",Stark (...) dedica capítulos a mostrar como a teologia cristã e a ética monástica criaram as condições para o desenvolvimento econômico e tecnológico.
PESQUISA,The Cistercian World: Monastic Writings of the Twelfth Century,"Uma coleção de textos que revela a espiritualidade e a mentalidade prática dos monges cistercienses, os grandes inovadores da época."
"Eco, Umberto",O Nome da Rosa,"Embora seja uma ficção, este romance policial passado num mosteiro medieval oferece a reconstrução mais vívida e detalhada da vida monástica..."
"Battles, Matthew",Palimpsesto: A história secreta da escrita no Ocidente,"Um livro fascinante sobre a história material do livro, que nos ajuda a valorizar o trabalho físico e o sacrifício por trás da preservação do conhecimento."
Eginhardo,Vida de Carlos Magno (Vita Karoli Magni),"Escrita por um contemporâneo e membro da corte, é a fonte primária mais importante sobre a vida, o caráter e as realizações de Carlos Magno."
"McKitterick, Rosamond",The Carolingian Renaissance,Uma análise acadêmica detalhada sobre o renascimento cultural e intelectual promovido por Carlos Magno.
"Le Goff, Jacques",A Civilização do Ocidente Medieval,"Uma obra-prima que descreve a mentalidade e as estruturas da Idade Média, ajudando a contextualizar o significado da coroação de Carlos Magno."
"Fried, Johannes",Charlemagne,"Uma biografia moderna e detalhada que explora a complexidade de Carlos Magno como guerreiro, administrador e patrono da cultura."
"Bullough, Donald A.",Alcuin: Achievement and Reputation,"A biografia acadêmica mais completa sobre este personagem fundamental, mas muitas vezes esquecido."
PESQUISA,Imagens da Capela Palatina de Aachen,"A capela construída por Carlos Magno é a joia arquitetônica do período, um símbolo da sua tentativa de fundir a grandiosidade romana com a espiritualidade cristã."
"Le Goff, Jacques",O Nascimento da Europa,Descreve o período após a fragmentação do Império Carolíngio e como a identidade europeia continuou a ser forjada a um nível cultural e religioso...
"Murray, Douglas",The Strange Death of Europe,Argumenta que a crise de identidade da Europa moderna (...) vem precisamente da sua recusa em afirmar as suas próprias raízes culturais e religiosas.
"Duby, Georges",A Arte da Idade Média,"Uma análise magistral de como a arte medieval, especialmente a arquitetura das catedrais, era uma expressão da teologia e da ordem social da época."
"Scruton, Roger",Why Beauty Matters? (Por que a Beleza Importa?),O documentário (disponível no YouTube) e o livro são a chave filosófica para este capítulo. Scruton argumenta que a busca pela beleza é uma necessidade humana fundamental...
"Le Goff, Jacques",A Civilização do Ocidente Medieval,O capítulo sobre a arquitetura gótica é uma excelente análise de como a catedral refletia a visão de mundo da época.
